player_id,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,5year_approx_value,40yd_done,Vertical_done,Bench_done,Broad Jump_done,3Cone_done,Shuttle_done
2692,Kamalei Correa,EDGE,Boise State,75,243,4.69,33.0,21.0,108.0,7.208514851485148,4.396206896551725,Group of 5,37,2.972972972972973,0.8513513513513513,0.5405405405405406,0.13513513513513514,31.625,9.375,12.0,1,1,1,1,0,0
2707,Kevin Dodd,EDGE,Clemson,77,277,4.86,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,35,2.342857142857143,0.7428571428571429,0.34285714285714286,0.02857142857142857,34.0,10.0,2.0,1,0,0,0,0,0
2721,Travis Feeney,EDGE,Washington,76,230,4.5,40.0,24.088372093023256,130.0,7.2,4.42,Power 5,52,4.75,0.6346153846153846,0.2980769230769231,0.09615384615384616,33.375,9.5,0.0,1,1,0,1,1,1
2723,Leonard Floyd,EDGE,Georgia,78,244,4.6,39.5,24.088372093023256,127.0,7.208514851485148,4.396206896551725,Power 5,38,4.842105263157895,0.75,0.4473684210526316,0.13157894736842105,33.125,10.125,40.0,1,1,0,1,0,0
2772,Jordan Jenkins,EDGE,Georgia,75,259,4.8,36.5,16.0,121.0,7.208514851485148,4.396206896551725,Power 5,52,3.9423076923076925,0.7692307692307693,0.36538461538461536,0.11538461538461539,34.25,11.25,31.0,1,1,1,1,0,0
2784,Matt Judon,EDGE,Grand Valley State,75,275,4.73,35.0,30.0,109.0,7.67,4.52,FCS,49,3.061224489795918,0.5816326530612245,0.41836734693877553,0.10204081632653061,33.875,9.5,37.0,1,1,1,1,1,1
2788,Bronson Kaufusi,EDGE,BYU,78,285,4.87,30.0,25.0,111.0,7.03,4.25,Power 5,50,3.42,0.88,0.53,0.1,34.5,9.75,2.0,1,1,1,1,1,1
2803,Shaq Lawson,EDGE,Clemson,75,269,4.7,33.0,24.088372093023256,120.0,7.16,4.21,Power 5,41,3.048780487804878,1.1341463414634145,0.4878048780487805,0.04878048780487805,32.75,10.0,18.0,1,1,0,1,1,1
2828,Alex McCalister,EDGE,Florida,78,239,4.8,34.5,24.088372093023256,128.0,7.01,4.0,Power 5,23,2.260869565217391,0.8043478260869565,0.5434782608695652,0.08695652173913043,36.0,9.375,0.0,1,1,0,1,1,1
2843,Carl Nassib,EDGE,Penn State,79,277,4.84,28.5,21.0,114.0,7.27,4.37,Power 5,32,2.03125,0.78125,0.546875,0.25,34.0,10.375,19.0,1,1,1,1,1,1
2847,Yannick Ngakoue,EDGE,Maryland,74,252,4.75,34.5,26.0,118.0,7.35,4.5,Power 5,30,2.8,1.0833333333333333,0.7166666666666667,0.06666666666666667,32.5,9.5,39.0,1,1,1,1,1,1
2848,Dadi Nicolas,EDGE,Virginia Tech,75,235,4.74,41.0,14.0,116.0,7.04,4.38,Power 5,47,3.5319148936170213,0.7659574468085106,0.3723404255319149,0.06382978723404255,34.75,10.375,1.0,1,1,1,1,1,1
2857,Emmanuel Ogbah,EDGE,Oklahoma State,76,273,4.63,35.5,20.0,121.0,7.26,4.5,Power 5,39,3.41025641025641,1.0384615384615385,0.717948717948718,0.10256410256410256,35.5,10.0,28.0,1,1,1,1,1,1
2906,Noah Spence,EDGE,East. Kentucky,74,251,4.8,35.0,25.0,121.0,7.21,4.35,Power 5,26,2.3846153846153846,0.5769230769230769,0.3269230769230769,0.038461538461538464,33.0,10.75,5.0,1,1,1,1,1,1
2914,Charles Tapper,EDGE,Oklahoma,75,271,4.59,34.0,23.0,119.0,7.208514851485148,4.396206896551725,Power 5,44,3.1136363636363638,0.6022727272727273,0.3522727272727273,0.11363636363636363,34.375,11.0,0.0,1,1,1,1,0,0
2970,Derek Barnett,EDGE,Tennessee,75,259,4.88,31.0,24.088372093023256,117.0,6.96,4.44,Power 5,39,5.051282051282051,1.3333333333333333,0.8461538461538461,0.07692307692307693,32.125,10.0,24.0,1,1,0,1,1,1
2971,Tarell Basham,EDGE,Ohio,76,269,4.7,31.5,15.0,119.0,7.27,4.35,Group of 5,51,3.0784313725490198,0.7843137254901961,0.5588235294117647,0.11764705882352941,34.25,10.25,14.0,1,1,1,1,1,1
2995,Josh Carraway,EDGE,TCU,75,242,4.74,29.5,25.0,120.0,7.2,4.44,Power 5,43,3.0930232558139537,0.6395348837209303,0.4418604651162791,0.06976744186046512,34.25,9.25,0.0,1,1,1,1,1,1
2999,Taco Charlton,EDGE,Michigan,78,277,4.92,33.0,25.0,116.0,7.17,4.39,Power 5,38,2.473684210526316,0.7236842105263158,0.4868421052631579,0.02631578947368421,34.25,9.75,10.0,1,1,1,1,1,1
3053,Myles Garrett,EDGE,Texas A&M,76,272,4.64,41.0,33.0,128.0,7.208514851485148,4.396206896551725,Power 5,36,4.027777777777778,1.3472222222222223,0.9027777777777778,0.19444444444444445,35.25,10.25,54.0,1,1,1,1,0,0
3065,Daeshon Hall,EDGE,Texas A&M,77,266,4.76,36.0,18.0,123.0,7.03,4.38,Power 5,47,3.425531914893617,0.776595744680851,0.3404255319148936,0.0851063829787234,35.0,9.625,1.0,1,1,1,1,1,1
3069,Charles Harris,EDGE,Missouri,75,253,4.82,32.0,21.0,109.0,7.47,4.42,Power 5,37,3.675675675675676,0.9324324324324325,0.4864864864864865,0.13513513513513514,32.375,9.625,12.0,1,1,1,1,1,1
3074,Trey Hendrickson,EDGE,Florida Atlantic,76,266,4.65,33.5,24.088372093023256,122.0,7.03,4.2,Group of 5,40,3.175,1.0375,0.7375,0.2,32.0,9.875,24.0,1,1,0,1,1,1
3112,Deatrich Wise Jr.,EDGE,Arkansas,77,274,4.92,33.0,22.0,124.0,7.208514851485148,4.396206896551725,Power 5,47,2.382978723404255,0.48936170212765956,0.35106382978723405,0.0851063829787234,35.625,10.5,24.0,1,1,1,1,0,0
3122,Tanoh Kpassagnon,EDGE,Villanova,79,289,4.83,30.0,23.0,128.0,7.46,4.62,FCS,50,2.94,0.65,0.38,0.12,35.625,10.625,18.0,1,1,1,1,1,1
3129,Carl Lawson,EDGE,Auburn,74,261,4.67,33.0,35.0,114.0,7.46,4.19,Power 5,31,2.161290322580645,0.7741935483870968,0.45161290322580644,0.0967741935483871,31.5,10.375,11.0,1,1,1,1,1,1
3156,Takkarist McKinley,EDGE,UCLA,74,250,4.59,33.0,24.0,122.0,7.48,4.62,Power 5,33,3.090909090909091,0.8787878787878788,0.5151515151515151,0.18181818181818182,34.75,9.75,16.0,1,1,1,1,1,1
3164,Avery Moss,EDGE,Youngstown State,75,264,4.79,32.5,14.0,114.0,7.25,4.43,FCS,46,2.152173913043478,0.5978260869565217,0.43478260869565216,0.06521739130434782,34.5,10.375,4.0,1,1,1,1,1,1
